user_id,tweet_id,tweet_text,country
3063454286,1637256770782363650,@DynoGameTheory who does chalk have #4,0
314102617,1633650369468289024,@Teez3_ @SpyroKush Yall had Favre and Vick lmao,0
78752591,1635680803807010816,"This version is set to music... no voice, just appreciation. 
""A Storm is Coming"" https://t.co/zMckATYISI via @YouTube",2
26981481,1634140575015239682,"#Auswrites Touch would be my least described sense. Also, I often get it so wrong when I’m trying to use simile or metaphor to show! I use taste, smell and sound a lot. My recent one is: undercooked rice feels like sweaty socks after a long walk. 🤷🏽‍♀️ D8. https://t.co/555SoOaGiO",3
1275113515284598785,1619030774023598082,"@itsyayyy69 @LindseyThiry 🥱🥱🥱 sga, Chet holmgren, Josh Giddey , Jalen willams shii the talents all there. The Thunder have one of the best fanbases in the country .",0
175961978,1635635445068439553,"Tonight is a big ftf replay of the Battle of the Wilderness (Rebel Fury, GMT). The date is May 5th 1864, Grant versus Lee. It should be epic. https://t.co/yxPKqGxudX",0
1368025719608143878,1597824694807588864,Yeaaaaa Tra! @TrashaunPierce https://t.co/7f2qsoTHnc,0
608818756,1622054255266861056,@UNLVRebelGrl https://t.co/OQ4BAkbBiX,0
21676969,1636417709314543616,"Want to work in #Seattle, WA? View our latest opening: https://t.co/PhlAR0pMv3 #techjobs",0
1212145784361082880,1636825788002742273,@RonFilipkowski @elephant1417 Sacrilege.,0
3164525737,1624599191124324352,"@TheGurglingCod Curious if you upgraded to this absolute unit from a stand mixer attachment, a manual crank, or neither?",0
2547255943,1637952131696324611,"Go get ‘em, @MarkGerretsen 
🎯💯🎯💯🎯💯 https://t.co/2l3o6xPTJK",2
250763632,1637251622454558721,So proud of you https://t.co/DVF0FdNAy7,0
797295843204272128,1636427822192312322,@GHXZT8 what u know about WPSE,0
414469058,1636910341345902592,"@Mikehomeseller @JosephZampano @JohnSaunders18 @patrickvzen1 @CannabisChroni4 @DCRock @movie_gal_10 @MikeWardDMD @mikestephens99 @JJFarrell451 @Music__Mentor Mike for this bunch of folks, I’d gladly buy the first round! 🤝🥃⚾️",0
32957789,1635740086124904481,@GustavoJBarreda @jasparitis @Xmrkez @lncmpltemission My comment was directed at Mike Coastal,0
4725256386,1637864683289083904,"Attention LPNs! UAMS offers 50% tuition discount (BSN), 10% retirement match and housing reimbursement ( &gt; 45 miles outside Little Rock). Check us out! Recent market adjustment! LPN FT Little Rock ROC https://t.co/lMZxyG4gzx #UAMSStrong #LPNJobs",0
1073388529349218304,1622030590533947395,Yes Lauren!! 👏👏👏 https://t.co/rKczboduoG,0
1565182170456395778,1637268842018914304,"#Sunday Motivation
    सुप्रभात सप्रेम नमस्कार
 रविवारी दिवसातून चार वेळा
  अमूल्य मार्गदर्शन करणारी सत्संग शृंखला घरातील प्रत्येकाला उपयोगी पडेल अशी आहे 
जरुर लाभ घ्यावा अशी विनंती आहे https://t.co/o2M2bna5bf",4
1593232394,1636516889986834436,https://t.co/MTPIcod3zA https://t.co/z2xU08Pc7g,2
4859094149,1634982195030024193,"@glumplummusic @LUCALUSH i personally don’t see how your latter point is relevant at all. even out of this context, who cares how much in royalties spotify has paid. they still continue to pay out almost half of what apple does, and they’re never gonna be profitable at this rate.",0
1251231893632307200,1638043161426534400,@Dcl_60 Ok. I will put Ben and Jerry’s on my boycott list.,0
863258220,1637615545552973824,@ImBrettRossi You're already there https://t.co/0xk5e5NrCe,0
326366031,1637649439379582976,@heinickethegoat @pajeetdr What are you talking about? Here are Getty Images and AP photos of the same moment. There are lots of pictures (and video) of it. https://t.co/dQrQiyD761,0
904770362,1636448688502349840,Ah March Madness https://t.co/sJBv6YgeTz,0
993315945409019904,1624545751043829762,"@ForTheCrownBaby 1) the fans are READY!
2) picking a starting XI is going to be difficult because we have tons of quality this year!",0
1511537126,1626136449459568640,@lesiexcx @lasantitadiabla @its_kendall____ bae what do you wanna see ? i’ll take you there,0
605347614,1625975378899599401,"Tonight’s lesson was hitting down on the ball by 10 degrees 

Still hit the floor 6 inches behind it 

But you’ll see video after video showing you how hitting down more prevents hitting the floor early 😏",1
